,steamId,name,publisherClass,price,sales,img_count,link_count,sales_adj,name_len,name_capital_ratio,name_digit_ratio,name_special_ratio,description_len,description_capital_ratio,description_digit_ratio,description_special_ratio,description_stopword_ratio,description_avg_word_len,tags_2D,tags_Action,tags_Adventure,tags_Anime,tags_Atmospheric,tags_Casual,tags_Cute,tags_Exploration,tags_Female_Protagonist,tags_FirstPerson,tags_Horror,tags_Indie,tags_JRPG,tags_Multiplayer,tags_Nudity,tags_Open_World,tags_Pixel_Graphics,tags_Platformer,tags_Point__Click,tags_Psychological_Horror,tags_Puzzle,tags_RPG,tags_Sexual_Content,tags_Simulation,tags_Singleplayer,tags_Sports,tags_Story_Rich,tags_Strategy,tags_VR,tags_Visual_Novel,genres_Action,genres_Adventure,genres_Casual,genres_Early_Access,genres_Indie,genres_Massively_Multiplayer,genres_RPG,genres_Racing,genres_Simulation,genres_Sports,genres_Strategy,features_Captions_available,features_Commentary_available,features_CrossPlatform_Multiplayer,features_Family_Sharing,features_HDR_available,features_InApp_Purchases,features_Includes_level_editor,features_LAN_Coop,features_LAN_PvP,features_MMO,features_Online_Coop,features_Online_PvP,features_Profile_Features_Limited,features_Remote_Play_Together,features_Remote_Play_on_Phone,features_Remote_Play_on_TV,features_Remote_Play_on_Tablet,features_SharedSplit_Screen_Coop,features_SharedSplit_Screen_PvP,features_Singleplayer,features_Stats,features_Steam_Achievements,features_Steam_Cloud,features_Steam_Leaderboards,features_Steam_Trading_Cards,features_Steam_Turn_Notifications,features_Steam_Workshop,features_Tracked_Controller_Support,features_VR_Only,features_VR_Supported
7802,425460,Tokyo Twilight Ghost Hunters Daybreak: Special Gigs,Indie,29.99,881,0,0,587,51,0.13725490196078433,0.0,0.13725490196078433,1577,0.032339885859226376,0.0012682308180088776,0.19657577679137603,0.311284046692607,5.097276264591439,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1451,2106840,PARANORMASIGHT: The Seven Mysteries of Honjo,AA,19.99,18704,4,0,17535,44,0.4090909090909091,0.0,0.13636363636363635,2377,0.030710980227177113,0.0033655868742111907,0.19856962557846025,0.38341968911917096,5.108808290155441,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
3073,2774830,Seven Lovers In The House,Indie,9.99,37887,8,0,35519,25,0.2,0.0,0.16,947,0.009503695881731784,0.025343189017951427,0.14044350580781415,0.0,22.121951219512194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5938,500670,Tormentor❌Punisher,AA,7.99,5200,4,1,2600,18,0.1111111111111111,0.0,0.05555555555555555,1201,0.0466278101582015,0.0,0.20399666944213155,0.3402061855670103,5.144329896907217,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0
10185,2260530,Hidden Cats in New York,Indie,2.99,2873,6,0,2693,23,0.17391304347826086,0.0,0.17391304347826086,915,0.07213114754098361,0.030601092896174863,0.20327868852459016,0.20261437908496732,4.934640522875817,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0
837,1413480,Shin Megami Tensei III Nocturne HD Remaster,AAA,49.99,33716,4,0,24083,43,0.23255813953488372,0.0,0.13953488372093023,764,0.051047120418848166,0.0013089005235602095,0.18193717277486912,0.33613445378151263,5.411764705882353,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0
3371,549080,Tank Warfare: Tunisia 1943,Indie,39.99,2203,0,0,2132,26,0.11538461538461539,0.15384615384615385,0.15384615384615385,3224,0.016439205955334987,0.002791563275434243,0.17369727047146402,0.2967741935483871,5.935483870967742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
7082,736570,The Crooked Man,AA,2.99,1943,2,1,1325,15,0.2,0.0,0.13333333333333333,1187,0.030328559393428812,0.0008424599831508003,0.1937657961246841,0.36633663366336633,4.881188118811881,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0
9822,497080,Construct: Escape the System,Indie,7.99,1140,0,0,561,28,0.10714285714285714,0.0,0.14285714285714285,1704,0.031103286384976527,0.011150234741784037,0.24295774647887325,0.21428571428571427,5.184210526315789,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0
5663,1591860,审判者,Indie,9.99,9100,2,0,8029,3,0.0,0.0,0.0,867,0.012687427912341407,0.0,0.20184544405997693,0.40397350993377484,4.748344370860927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7532,1787960,Milling machine simulator,Indie,19.99,684,6,0,540,25,0.04,0.0,0.08,471,0.01910828025477707,0.0,0.18683651804670912,0.35526315789473684,5.2105263157894735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
10480,1150550,Winter Polaris,Indie,13.49,214,0,2,153,14,0.14285714285714285,0.0,0.07142857142857142,1406,0.02275960170697013,0.0,0.1984352773826458,0.38396624472573837,4.924050632911392,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
766,803600,Disgaea 5 Complete,Indie,29.99,64840,0,0,64840,18,0.1111111111111111,0.05555555555555555,0.1111111111111111,2008,0.04930278884462151,0.01045816733067729,0.19223107569721115,0.3069908814589666,5.085106382978723,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
