,steamId,name,publisherClass,price,sales,img_count,link_count,sales_adj,name_len,name_capital_ratio,name_digit_ratio,name_special_ratio,description_len,description_capital_ratio,description_digit_ratio,description_special_ratio,description_stopword_ratio,description_avg_word_len,tags_2D,tags_Action,tags_Adventure,tags_Anime,tags_Atmospheric,tags_Casual,tags_Cute,tags_Exploration,tags_Female_Protagonist,tags_FirstPerson,tags_Horror,tags_Indie,tags_JRPG,tags_Multiplayer,tags_Nudity,tags_Open_World,tags_Pixel_Graphics,tags_Platformer,tags_Point__Click,tags_Psychological_Horror,tags_Puzzle,tags_RPG,tags_Sexual_Content,tags_Simulation,tags_Singleplayer,tags_Sports,tags_Story_Rich,tags_Strategy,tags_VR,tags_Visual_Novel,genres_Action,genres_Adventure,genres_Casual,genres_Early_Access,genres_Indie,genres_Massively_Multiplayer,genres_RPG,genres_Racing,genres_Simulation,genres_Sports,genres_Strategy,features_Captions_available,features_Commentary_available,features_CrossPlatform_Multiplayer,features_Family_Sharing,features_HDR_available,features_InApp_Purchases,features_Includes_level_editor,features_LAN_Coop,features_LAN_PvP,features_MMO,features_Online_Coop,features_Online_PvP,features_Profile_Features_Limited,features_Remote_Play_Together,features_Remote_Play_on_Phone,features_Remote_Play_on_TV,features_Remote_Play_on_Tablet,features_SharedSplit_Screen_Coop,features_SharedSplit_Screen_PvP,features_Singleplayer,features_Stats,features_Steam_Achievements,features_Steam_Cloud,features_Steam_Leaderboards,features_Steam_Trading_Cards,features_Steam_Turn_Notifications,features_Steam_Workshop,features_Tracked_Controller_Support,features_VR_Only,features_VR_Supported
9594,1573090,Impaler,Indie,2.99,5065,3,1,2620,7,0.14285714285714285,0.0,0.0,1067,0.02717900656044986,0.008434864104967198,0.1836925960637301,0.23668639053254437,5.313609467455621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0
2781,1967260,Double Dragon Gaiden: Rise Of The Dragons,Indie,24.99,11162,5,1,10464,41,0.17073170731707318,0.0,0.17073170731707318,2974,0.06254203093476798,0.00605245460659045,0.19132481506388702,0.38413361169102295,5.181628392484343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0
8397,1816070,ILLUMINATI,Indie,24.99,805,4,0,755,10,1.0,0.0,0.0,2394,0.06683375104427736,0.007101086048454469,0.20008354218880534,0.3659147869674185,4.987468671679198,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7798,1247940,Greyhat - A Digital Detective Adventure,Indie,11.99,1013,4,0,980,39,0.1282051282051282,0.0,0.15384615384615385,1931,0.025375453133091662,0.0020714655618850335,0.1978249611600207,0.39308176100628933,5.022012578616352,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
9054,890500,Love ritual,Indie,11.99,1161,3,0,657,11,0.09090909090909091,0.0,0.09090909090909091,2563,0.02536090518923137,0.0023410066328521262,0.18962153726102224,0.44495412844036697,4.878440366972477,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1528,2429860,Living With Sister: Monochrome Fantasy,Indie,12.99,111391,12,1,104429,38,0.13157894736842105,0.0,0.13157894736842105,1647,0.015786278081360048,0.0,0.19368548876745598,0.45,4.885714285714286,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
7483,451310,A Fold Apart,Indie,17.99,883,4,0,828,12,0.25,0.0,0.16666666666666666,900,0.017777777777777778,0.0033333333333333335,0.18777777777777777,0.3358208955223881,5.67910447761194,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
5410,831050,Dolmen,AA,39.99,2774,5,0,1981,6,0.16666666666666666,0.0,0.0,1349,0.08598962194217939,0.0,0.18309859154929578,0.3472222222222222,5.236111111111111,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
9192,478210,BUDDY,Indie,9.74,1419,0,0,1216,5,1.0,0.0,0.0,623,0.051364365971107544,0.0,0.24719101123595505,0.2920353982300885,4.433628318584071,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
2263,907470,Iris.Fall,Indie,14.99,25078,7,0,13435,9,0.2222222222222222,0.0,0.1111111111111111,1255,0.016733067729083666,0.0015936254980079682,0.18964143426294822,0.34328358208955223,5.248756218905473,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0
